Filer Name,Stock Name,Stock Ticker,Quarter Date,Type of Security,Current Shares Held,Current Market Value,Previous Shares Held,Previous Market Value,Current % of Portfolio,Previous % of Portfolio,Current Rank,Previous Rank,Change in Shares,Type of Change,Sector,stock_id
"TRIAN FUND MANAGEMENT, L.P.",Procter & Gamble Co. (OH) (1905),PG,2018-03-31,SH,37908621.0,3005395000.0,37908621.0,3483044000.0,30.3166,29.4671,1,1,0.0,,CONSUMER STAPLES,272
"TRIAN FUND MANAGEMENT, L.P.",Sysco Corp.,SYY,2018-03-31,SH,44840642.0,2688645000.0,44499052.0,2702427000.0,27.1215,22.863,2,2,0.767634,addition,CONSUMER STAPLES,343
"TRIAN FUND MANAGEMENT, L.P.",Pentair Plc,PNR,2018-03-31,SH,22947845.6,1049991000.0,22948180.62,1088382000.0,10.5917,9.2079,3,5,-0.00146,reduction,INDUSTRIALS,4370
"TRIAN FUND MANAGEMENT, L.P.",General Electric Co,GE,2018-03-31,SH,9210996.34,955109000.0,9210637.15,1236351000.0,9.6346,10.4597,4,4,0.0039,addition,INDUSTRIALS,114
"TRIAN FUND MANAGEMENT, L.P.",Bank Of New York Mellon Corp,BK,2018-03-31,SH,16136596.0,831519000.0,15776432.0,849719000.0,8.3879,7.1888,5,6,2.282924,addition,FINANCE,2534
"TRIAN FUND MANAGEMENT, L.P.",Mondelez International Inc. (Kraft Foods),MDLZ,2018-03-31,SH,18820060.0,785361000.0,42504701.0,1819201000.0,7.9223,15.3907,6,3,-55.722404,reduction,CONSUMER STAPLES,3785
"TRIAN FUND MANAGEMENT, L.P.",Wendys Co. (The),WEN,2018-03-31,SH,34035921.0,597330000.0,39035921.0,640970000.0,6.0255,5.4227,7,7,-12.808715,reduction,CONSUMER DISCRETIONARY,11361
