Filer Name,Stock Name,Stock Ticker,Quarter Date,Type of Security,Current Shares Held,Current Market Value,Previous Shares Held,Previous Market Value,Current % of Portfolio,Previous % of Portfolio,Current Rank,Previous Rank,Change in Shares,Type of Change,Sector,stock_id
CHILTON INVESTMENT COMPANY INC.,PANTRY INC (THE),PTRY,2006-06-30,SH,4139530.0,238189000.0,4251132.0,265228000.0,6.3686,7.2257,1,1,-2.62523,reduction,CONSUMER STAPLES,2418
CHILTON INVESTMENT COMPANY INC.,KB Home Inc.,KBH,2006-06-30,SH,2995032.0,137322000.0,1385965.0,90060000.0,3.6717,2.4535,2,11,116.097232,addition,CONSUMER DISCRETIONARY,3623
CHILTON INVESTMENT COMPANY INC.,Advance Auto Parts Inc.,AAP,2006-06-30,SH,4094007.0,118317000.0,4477417.0,186440000.0,3.1635,5.0792,3,2,-8.563196,reduction,CONSUMER DISCRETIONARY,3562
CHILTON INVESTMENT COMPANY INC.,Berkeley (W.R.) Corp.,WRB,2006-06-30,SH,7679495.25,116489000.0,6754421.25,116196000.0,3.1147,3.1655,4,6,13.695829,addition,FINANCE,543
CHILTON INVESTMENT COMPANY INC.,MGM Resorts International Inc.,MGM,2006-06-30,SH,2804569.0,114426000.0,3386586.0,145928000.0,3.0595,3.9755,5,3,-17.185951,reduction,CONSUMER DISCRETIONARY,254
CHILTON INVESTMENT COMPANY INC.,Suncor Energy Inc.,SU,2006-06-30,SH,2760948.0,111832000.0,2262684.0,87136000.0,2.9901,2.3739,6,14,22.020927,addition,ENERGY,127
CHILTON INVESTMENT COMPANY INC.,Fidelity National Financial Inc,FNF,2006-06-30,SH,8021789.26,109545000.0,3169297.72,50101000.0,2.929,1.3649,7,25,153.109363,addition,FINANCE,4333
CHILTON INVESTMENT COMPANY INC.,Electronic Arts Inc.,EA,2006-06-30,SH,2531950.0,108975000.0,1604054.0,87774000.0,2.9137,2.3912,8,13,57.84693,addition,INFORMATION TECHNOLOGY,1017
CHILTON INVESTMENT COMPANY INC.,Federated Department Stores Inc,fds,2006-06-30,SH,2754936.0,100831000.0,1219006.0,88987000.0,2.696,2.4243,9,12,125.998559,addition, ,107150
CHILTON INVESTMENT COMPANY INC.,Southwestern Energy Co.,SWN,2006-06-30,SH,6420616.0,100033000.0,6302322.0,101436000.0,2.6747,2.7634,10,7,1.876991,addition,ENERGY,3900
CHILTON INVESTMENT COMPANY INC.,Fidelity National Financial Inc.,FNF-DEL1,2006-06-30,SH,2502452.0,97471000.0,2685524.0,95417000.0,2.6062,2.5995,11,8,-6.816994,reduction, ,107142
CHILTON INVESTMENT COMPANY INC.,Nutrien Ltd,NTR,2006-06-30,SH,966511.0,83091000.0,184834.0,16282000.0,2.2217,0.4436,12,52,422.907582,addition,MATERIALS,267
CHILTON INVESTMENT COMPANY INC.,Home Depot Inc. (The),HD,2006-06-30,SH,2279432.0,81581000.0,3109999.0,131553000.0,2.1813,3.5839,13,4,-26.706343,reduction,CONSUMER DISCRETIONARY,354
CHILTON INVESTMENT COMPANY INC.,Nexen Inc,NXY,2006-06-30,SH,2599570.0,73490000.0,944324.0,25025000.0,1.965,0.6818,14,35,175.283695,addition,ENERGY,5553
CHILTON INVESTMENT COMPANY INC.,Destination XL Group Inc.,DXLG,2006-06-30,SH,7253559.0,72898000.0,4399080.0,42847000.0,1.9491,1.1673,15,27,64.88809,addition,CONSUMER DISCRETIONARY,988
CHILTON INVESTMENT COMPANY INC.,Deltic Timber Corp.,DEL,2006-06-30,SH,1193055.0,67253000.0,1567906.0,95015000.0,1.7982,2.5885,16,9,-23.907747,reduction,MATERIALS,5265
CHILTON INVESTMENT COMPANY INC.,TD Ameritrade Holding Corp Class A,AMTD,2006-06-30,SH,4179672.0,61901000.0,511990.0,10685000.0,1.6551,0.2911,17,69,716.358132,addition,FINANCE,2821
CHILTON INVESTMENT COMPANY INC.,Omnicare Inc.,OCR,2006-06-30,SH,1286028.0,60983000.0,1711910.0,94138000.0,1.6305,2.5646,18,10,-24.877593,reduction,HEALTH CARE,2424
CHILTON INVESTMENT COMPANY INC.,Wendys International Inc.,WEN,2006-06-30,SH,996648.0,58095000.0,200000.0,12412000.0,1.5533,0.3381,19,61,398.324,addition,CONSUMER DISCRETIONARY,170136
CHILTON INVESTMENT COMPANY INC.,Florida Rock Industries,FRK,2006-06-30,SH,1143746.0,56810000.0,0.0,0.0,1.519,,20,999999,,new,MATERIALS,97349
CHILTON INVESTMENT COMPANY INC.,Popeyes Louisiana Kitchen Inc.,PLKI,2006-06-30,SH,4413108.0,56267000.0,3949365.0,54896000.0,1.5045,1.4955,21,21,11.742217,addition,CONSUMER DISCRETIONARY,6078
CHILTON INVESTMENT COMPANY INC.,America Movil S.A.B.DE C.V.,AMX,2006-06-30,SH,3156068.0,52485000.0,456456.0,7819000.0,1.4033,0.213,22,81,591.428747,addition,UTILITIES AND TELECOMMUNICATIONS,3509
CHILTON INVESTMENT COMPANY INC.,DATA STORAGE CONSULTING SERV INC,DTAS,2006-06-30,SH,4216523.0,48996000.0,3524607.0,50754000.0,1.31,1.3827,23,24,19.631011,addition,INFORMATION TECHNOLOGY,88603
CHILTON INVESTMENT COMPANY INC.,Dade Behring Holdings Inc,DADE,2006-06-30,SH,1157198.0,48186000.0,775903.0,27707000.0,1.2884,0.7548,24,33,49.142096,addition,HEALTH CARE,97363
CHILTON INVESTMENT COMPANY INC.,Kansas City Southern Industries Inc.,KSU,2006-06-30,SH,1600000.0,44320000.0,0.0,0.0,1.185,,25,999999,,new,TRANSPORTS,4957
CHILTON INVESTMENT COMPANY INC.,Glamis Gold Ltd,GLG,2006-06-30,SH,1110808.0,42055000.0,550210.0,17981000.0,1.1245,0.4899,26,47,101.888006,addition,MATERIALS,107175
CHILTON INVESTMENT COMPANY INC.,Snyders-Lance Inc.,LNCE,2006-06-30,SH,1701793.0,39175000.0,945349.0,21270000.0,1.0475,0.5795,27,41,80.017433,addition,CONSUMER STAPLES,7316
CHILTON INVESTMENT COMPANY INC.,Agrium Inc. - Merged with Potash,AGU,2006-06-30,SH,1657375.0,38484000.0,0.0,0.0,1.029,,28,999999,,new,MATERIALS,11418
CHILTON INVESTMENT COMPANY INC.,Freeport-McMoRan Copper & Gold Inc,FCX,2006-06-30,SH,1366050.0,37846000.0,482478.0,14419000.0,1.0119,0.3928,29,56,183.132081,addition,MATERIALS,652
CHILTON INVESTMENT COMPANY INC.,Cameco Corp.,CCJ,2006-06-30,SH,937313.0,37464000.0,665111.0,23944000.0,1.0017,0.6523,30,37,40.9258,addition,ENERGY,156
CHILTON INVESTMENT COMPANY INC.,Cypress Semiconductor Corp,CY,2006-06-30,SH,11517454.16,36189000.0,5721237.39,20956000.0,0.9676,0.5709,31,42,101.310545,addition,INFORMATION TECHNOLOGY,3714
CHILTON INVESTMENT COMPANY INC.,Hospira Inc.,HSP,2006-06-30,SH,825537.0,35449000.0,0.0,0.0,0.9478,,32,999999,,new,HEALTH CARE,1056
CHILTON INVESTMENT COMPANY INC.,Dine Brands Global Inc,DIN,2006-06-30,SH,730237.0,35110000.0,1670176.0,80068000.0,0.9388,2.1813,33,18,-56.277841,reduction,CONSUMER DISCRETIONARY,46044
CHILTON INVESTMENT COMPANY INC.,Toll Brothers Inc.,TOL,2006-06-30,SH,1246706.0,31878000.0,0.0,0.0,0.8523,,34,999999,,new,CONSUMER DISCRETIONARY,2528
CHILTON INVESTMENT COMPANY INC.,Interline Brands Inc,IBI,2006-06-30,SH,1113236.0,26027000.0,397112.0,10019000.0,0.6959,0.2729,35,72,180.333004,addition,INDUSTRIALS,6168
CHILTON INVESTMENT COMPANY INC.,Nov Inc,NOV,2006-06-30,SH,818374.0,25910000.0,2534804.0,81266000.0,0.6928,2.2139,36,17,-67.714506,reduction,ENERGY,17
CHILTON INVESTMENT COMPANY INC.,SunPower Corp,SPWR,2006-06-30,SH,1390099.87,25508000.0,998696.18,24958000.0,0.682,0.6799,37,36,39.191468,addition,INFORMATION TECHNOLOGY,68512
CHILTON INVESTMENT COMPANY INC.,Weatherford International plc,WFTIQ,2006-06-30,SH,1024408.0,25416000.0,663700.0,15182000.0,0.6796,0.4136,38,54,54.348049,addition,ENERGY,2531
