Filer Name,Stock Name,Stock Ticker,Quarter Date,Type of Security,Current Shares Held,Current Market Value,Previous Shares Held,Previous Market Value,Current % of Portfolio,Previous % of Portfolio,Current Rank,Previous Rank,Change in Shares,Type of Change,Sector,stock_id
FAIRHOLME CAPITAL MANAGEMENT LLC,St. Joe Corp,JOE,2021-06-30,SH,25745557.0,1148509000.0,25745557.0,1104484000.0,90.6441,91.1645,1,1,0.0,,REAL ESTATE,2602
FAIRHOLME CAPITAL MANAGEMENT LLC,Commercial Metals Company,CMC,2021-06-30,SH,558100.0,17145000.0,0.0,0.0,1.3531,,2,999999,,new,MATERIALS,2636
FAIRHOLME CAPITAL MANAGEMENT LLC,Enbridge Inc. (Interprovincial Pipe Line System - IPL Energy),ENB,2021-06-30,SH,355800.0,14246000.0,341800.0,12442000.0,1.1243,1.027,3,3,4.095963,addition,ENERGY,171
FAIRHOLME CAPITAL MANAGEMENT LLC,Berkshire Hathaway Inc Class B,BRK.B,2021-06-30,SH,49960.0,13885000.0,49960.0,12763000.0,1.0958,1.0535,4,2,0.0,,FINANCE,2827
FAIRHOLME CAPITAL MANAGEMENT LLC,Kinder Morgan Inc. (DE),KMI,2021-06-30,SH,667200.0,12163000.0,667200.0,11109000.0,0.9599,0.9169,5,5,0.0,,UTILITIES AND TELECOMMUNICATIONS,111456
FAIRHOLME CAPITAL MANAGEMENT LLC,Energy Transfer Equity LP,ET,2021-06-30,SH,1029200.0,10940000.0,1029200.0,7904000.0,0.8634,0.6524,6,9,0.0,,ENERGY,3779
FAIRHOLME CAPITAL MANAGEMENT LLC,Western Midstream Partners LP,WES,2021-06-30,SH,486300.0,10417000.0,556600.0,10347000.0,0.8221,0.854,7,7,-12.630255,reduction,ENERGY,46193
FAIRHOLME CAPITAL MANAGEMENT LLC,Vistra Energy Corp,VST,2021-06-30,SH,552900.0,10256000.0,492900.0,8714000.0,0.8094,0.7193,8,8,12.172855,addition,ENERGY,198258
FAIRHOLME CAPITAL MANAGEMENT LLC,Intel Corp.,INTC,2021-06-30,SH,157500.0,8842000.0,0.0,0.0,0.6978,,9,999999,,new,INFORMATION TECHNOLOGY,236
FAIRHOLME CAPITAL MANAGEMENT LLC,Williams Cos. (The),WMB,2021-06-30,SH,304700.0,8090000.0,304700.0,7218000.0,0.6385,0.5958,10,10,0.0,,ENERGY,532
FAIRHOLME CAPITAL MANAGEMENT LLC,Old Republic International Corp.,ORI,2021-06-30,SH,241100.0,6006000.0,241100.0,5266000.0,0.474,0.4347,11,11,0.0,,FINANCE,5147
FAIRHOLME CAPITAL MANAGEMENT LLC,Alibaba Group Holding Ltd ADR,BABA,2021-06-30,SH,10580.0,2399000.0,0.0,0.0,0.1893,,12,999999,,new,COMMUNICATIONS,173707
FAIRHOLME CAPITAL MANAGEMENT LLC,Apple Inc,AAPL,2021-06-30,SH,14060.0,1926000.0,4260.0,520000.0,0.152,0.0429,13,14,230.046948,addition,INFORMATION TECHNOLOGY,195
FAIRHOLME CAPITAL MANAGEMENT LLC,Enterprise Products Partners LP,EPD,2021-06-30,SH,75000.0,1810000.0,0.0,0.0,0.1429,,14,999999,,new,ENERGY,3822
FAIRHOLME CAPITAL MANAGEMENT LLC,Berkshire Hathaway Inc Class A,BRK.A,2021-06-30,SH,1.0,419000.0,1.0,386000.0,0.0331,0.0319,15,15,0.0,,FINANCE,4161
FAIRHOLME CAPITAL MANAGEMENT LLC,Verizon Communications (Bell Atlantic Corp.),VZ,2021-06-30,SH,0.0,0.0,76900.0,4472000.0,,0.3691,999999,12,-100.0,soldall,UTILITIES AND TELECOMMUNICATIONS,286
FAIRHOLME CAPITAL MANAGEMENT LLC,TC Energy Corp,TRP,2021-06-30,SH,0.0,0.0,60600.0,2772000.0,,0.2288,999999,13,-100.0,soldall,ENERGY,4816
FAIRHOLME CAPITAL MANAGEMENT LLC,CVS Health Corp. (Melville Shoe),CVS,2021-06-30,SH,0.0,0.0,147000.0,11059000.0,,0.9128,999999,6,-100.0,soldall,CONSUMER STAPLES,221
FAIRHOLME CAPITAL MANAGEMENT LLC,AT&T Inc. (Southwestern Bell - SBC Corp.),T,2021-06-30,SH,0.0,0.0,528011.2,12072000.0,,0.9964,999999,4,-100.0,soldall,UTILITIES AND TELECOMMUNICATIONS,200
