Filer Name,Stock Name,Stock Ticker,Quarter Date,Type of Security,Current Shares Held,Current Market Value,Previous Shares Held,Previous Market Value,Current % of Portfolio,Previous % of Portfolio,Current Rank,Previous Rank,Change in Shares,Type of Change,Sector,stock_id
FAIRHOLME CAPITAL MANAGEMENT LLC,St. Joe Corp,JOE,2020-12-31,SH,26430357.0,1121969000.0,26444357.0,545547000.0,90.7911,83.5855,1,1,-0.052941,reduction,REAL ESTATE,2602
FAIRHOLME CAPITAL MANAGEMENT LLC,Bank of America Corp. (North Carolina National Bank),BAC,2020-12-31,SH,483500.0,14655000.0,337400.0,8128000.0,1.1859,1.2453,2,3,43.301719,addition,FINANCE,205
FAIRHOLME CAPITAL MANAGEMENT LLC,Berkshire Hathaway Inc Class B,BRK.B,2020-12-31,SH,59450.0,13785000.0,316595.0,67416000.0,1.1155,10.3291,3,2,-81.222066,reduction,FINANCE,2827
FAIRHOLME CAPITAL MANAGEMENT LLC,Canadian Natural Resources Ltd,CNQ,2020-12-31,SH,485281.3,11431000.0,296600.5,4651000.0,0.925,0.7126,4,6,63.614458,addition,ENERGY,106
FAIRHOLME CAPITAL MANAGEMENT LLC,AT&T Inc. (Southwestern Bell - SBC Corp.),T,2020-12-31,SH,514638.8,11179000.0,303858.0,6543000.0,0.9046,1.0025,5,5,69.368192,addition,UTILITIES AND TELECOMMUNICATIONS,200
FAIRHOLME CAPITAL MANAGEMENT LLC,Kinder Morgan Inc. (DE),KMI,2020-12-31,SH,632000.0,8639000.0,196600.0,2424000.0,0.6991,0.3714,6,9,221.464903,addition,UTILITIES AND TELECOMMUNICATIONS,111456
FAIRHOLME CAPITAL MANAGEMENT LLC,Cincinnati Financial Corp. (Cincinnati Insurance Co.),CINF,2020-12-31,SH,96700.0,8449000.0,0.0,0.0,0.6837,,7,999999,,new,FINANCE,3495
FAIRHOLME CAPITAL MANAGEMENT LLC,Enbridge Inc. (Interprovincial Pipe Line System - IPL Energy),ENB,2020-12-31,SH,256900.0,8218000.0,0.0,0.0,0.665,,8,999999,,new,ENERGY,171
FAIRHOLME CAPITAL MANAGEMENT LLC,Western Midstream Partners LP,WES,2020-12-31,SH,556600.0,7692000.0,540000.0,4320000.0,0.6224,0.6619,9,7,3.074074,addition,ENERGY,46193
FAIRHOLME CAPITAL MANAGEMENT LLC,CVS Health Corp. (Melville Shoe),CVS,2020-12-31,SH,111100.0,7588000.0,0.0,0.0,0.614,,10,999999,,new,CONSUMER STAPLES,221
FAIRHOLME CAPITAL MANAGEMENT LLC,Old Republic International Corp.,ORI,2020-12-31,SH,379100.0,7472000.0,0.0,0.0,0.6046,,11,999999,,new,FINANCE,5147
FAIRHOLME CAPITAL MANAGEMENT LLC,Energy Transfer Equity LP,ET,2020-12-31,SH,783300.0,4841000.0,258300.0,1400000.0,0.3917,0.2145,12,10,203.252033,addition,ENERGY,3779
FAIRHOLME CAPITAL MANAGEMENT LLC,Altria Group Inc. (Philip Morris),MO,2020-12-31,SH,54200.0,2222000.0,0.0,0.0,0.1798,,13,999999,,new,CONSUMER STAPLES,191
FAIRHOLME CAPITAL MANAGEMENT LLC,Enterprise Products Partners LP,EPD,2020-12-31,SH,95000.0,1861000.0,0.0,0.0,0.1506,,14,999999,,new,ENERGY,3822
FAIRHOLME CAPITAL MANAGEMENT LLC,Plains All American Pipeline LP,PAA,2020-12-31,SH,213000.0,1755000.0,0.0,0.0,0.142,,15,999999,,new,ENERGY,4170
FAIRHOLME CAPITAL MANAGEMENT LLC,Magellan Midstream Partners LP,MMP,2020-12-31,SH,40900.0,1736000.0,0.0,0.0,0.1405,,16,999999,,new,ENERGY,3802
FAIRHOLME CAPITAL MANAGEMENT LLC,Philip Morris International Inc,PM,2020-12-31,SH,14100.0,1167000.0,0.0,0.0,0.0944,,17,999999,,new,CONSUMER STAPLES,45788
FAIRHOLME CAPITAL MANAGEMENT LLC,Apple Inc,AAPL,2020-12-31,SH,4260.0,565000.0,4260.0,493000.0,0.0457,0.0755,18,11,0.0,,INFORMATION TECHNOLOGY,195
FAIRHOLME CAPITAL MANAGEMENT LLC,Berkshire Hathaway Inc Class A,BRK.A,2020-12-31,SH,1.0,348000.0,1.0,320000.0,0.0282,0.049,19,12,0.0,,FINANCE,4161
FAIRHOLME CAPITAL MANAGEMENT LLC,Occidental Petroleum Corp. Warrants (03/08/2027),OXYWS.WI,2020-12-31,SH,29102.0,198000.0,29102.0,87000.0,0.016,0.0133,20,13,0.0,, ,241679
FAIRHOLME CAPITAL MANAGEMENT LLC,Simon Property Group Inc.,SPG,2020-12-31,SH,0.0,0.0,52200.0,3376000.0,,0.5173,999999,8,-100.0,soldall,REAL ESTATE,278
FAIRHOLME CAPITAL MANAGEMENT LLC,Kraft Heinz Co. (The),KHC,2020-12-31,SH,0.0,0.0,266300.0,7976000.0,,1.222,999999,4,-100.0,soldall,CONSUMER STAPLES,178038
