Filer Name,Stock Name,Stock Ticker,Quarter Date,Type of Security,Current Shares Held,Current Market Value,Previous Shares Held,Previous Market Value,Current % of Portfolio,Previous % of Portfolio,Current Rank,Previous Rank,Change in Shares,Type of Change,Sector,stock_id
"GLENVIEW CAPITAL MANAGEMENT, LLC",SPX Technologies Inc,SPXC,2003-06-30,SH,1075000.0,47364500.0,997100.0,34060940.0,6.1302,6.6214,1,2,7.812657,addition,INDUSTRIALS,494
"GLENVIEW CAPITAL MANAGEMENT, LLC",Fisher Scientific International Inc.,FSH,2003-06-30,SH,1350000.0,47115000.0,0.0,0.0,6.0979,,2,999999,,new,HEALTH CARE,100819
"GLENVIEW CAPITAL MANAGEMENT, LLC",Williams Cos. (The),WMB,2003-06-30,SH,4850000.0,38315000.0,1250000.0,5725000.0,4.959,1.1129,3,29,288.0,addition,ENERGY,532
"GLENVIEW CAPITAL MANAGEMENT, LLC",Sealed Air Corp.,SEE,2003-06-30,SH,1350000.0,32170500.0,0.0,0.0,4.1637,,4,999999,,new,MATERIALS,3662
"GLENVIEW CAPITAL MANAGEMENT, LLC",AdvancePCS,ADVP,2003-06-30,SH,797500.0,30504380.0,634500.0,17981730.0,3.9481,3.4956,5,9,25.689519,addition,HEALTH CARE,97649
"GLENVIEW CAPITAL MANAGEMENT, LLC",Western Wireless Corp.,WWCA,2003-06-30,SH,2625000.0,30318750.0,0.0,0.0,3.924,,6,999999,,new,COMMUNICATIONS,106686
"GLENVIEW CAPITAL MANAGEMENT, LLC",Johnson Controls International plc (Tyco Laboratories),JCI,2003-06-30,SH,720440.06,28470000.0,289376.76,7748150.0,3.6848,1.5062,7,24,148.962653,addition,INDUSTRIALS,2837
"GLENVIEW CAPITAL MANAGEMENT, LLC",Computer Network Technology,CMNT,2003-06-30,SH,1250000.0,27850000.0,1400000.0,19124000.0,3.6045,3.7177,8,8,-10.714286,reduction,INFORMATION TECHNOLOGY,99250
"GLENVIEW CAPITAL MANAGEMENT, LLC",Willis Towers Watson Public Limited Co,WTW,2003-06-30,SH,339750.0,27675000.0,405812.5,29777500.0,3.5819,5.7887,9,3,-16.27907,reduction,FINANCE,4158
"GLENVIEW CAPITAL MANAGEMENT, LLC",Eastman Chemical Co.,EMN,2003-06-30,SH,1600000.0,25336000.0,0.0,0.0,3.2791,,10,999999,,new,MATERIALS,4327
