Filer Name,Stock Name,Stock Ticker,Quarter Date,Type of Security,Current Shares Held,Current Market Value,Previous Shares Held,Previous Market Value,Current % of Portfolio,Previous % of Portfolio,Current Rank,Previous Rank,Change in Shares,Type of Change,Sector,stock_id
TIGER GLOBAL MANAGEMENT LLC,Invesco QQQ Trust Series 1,QQQ,2010-03-31,PUT,9350000.0,450296000.0,0.0,0.0,9.0497,,1,999999,,new,FINANCE,4193
TIGER GLOBAL MANAGEMENT LLC,Apollo Group,APOL,2010-03-31,SH,6754212.0,413966000.0,5184500.0,314077000.0,8.3196,9.2805,2,2,30.277018,addition,CONSUMER DISCRETIONARY,2826
TIGER GLOBAL MANAGEMENT LLC,DIRECTV COM STK (DE),DTV,2010-03-31,SH,11606141.0,392404000.0,11306000.0,377055000.0,7.8863,11.1414,3,1,2.654705,addition,CONSUMER DISCRETIONARY,44
TIGER GLOBAL MANAGEMENT LLC,Pepsico Inc. (Loft Inc.),PEP,2010-03-31,SH,4481682.0,296508000.0,4001500.0,243291000.0,5.959,7.1889,4,4,12.00005,addition,CONSUMER STAPLES,264
TIGER GLOBAL MANAGEMENT LLC,Apollo Group,APOL,2010-03-31,CALL,4377200.0,268279000.0,0.0,0.0,5.3917,,5,999999,,new,CONSUMER DISCRETIONARY,2826
TIGER GLOBAL MANAGEMENT LLC,Alphabet Inc. Class A,GOOGL,2010-03-31,SH,7852000.0,222651000.0,5818400.0,180365000.0,4.4747,5.3295,6,6,34.951189,addition,COMMUNICATIONS,4112
TIGER GLOBAL MANAGEMENT LLC,SPDR S&P 500 ETF TRUST,SPY,2010-03-31,PUT,1895000.0,221715000.0,0.0,0.0,4.4559,,7,999999,,new,FINANCE,3962
TIGER GLOBAL MANAGEMENT LLC,MercadoLibre Inc,MELI,2010-03-31,SH,4193127.0,202151000.0,3366343.0,174612000.0,4.0627,5.1595,8,7,24.560302,addition,COMMUNICATIONS,5468
TIGER GLOBAL MANAGEMENT LLC,Lockheed Martin Corp.,LMT,2010-03-31,SH,2100000.0,174762000.0,1449000.0,109182000.0,3.5122,3.2262,9,14,44.927536,addition,INDUSTRIALS,245
TIGER GLOBAL MANAGEMENT LLC,Electronic Arts Inc.,EA,2010-03-31,CALL,9100000.0,169806000.0,0.0,0.0,3.4126,,10,999999,,new,INFORMATION TECHNOLOGY,1017
