Filer Name,Stock Name,Stock Ticker,Quarter Date,Type of Security,Current Shares Held,Current Market Value,Previous Shares Held,Previous Market Value,Current % of Portfolio,Previous % of Portfolio,Current Rank,Previous Rank,Change in Shares,Type of Change,Sector,stock_id
"PERSHING SQUARE CAPITAL MANAGEMENT, L.P.",Restaurant Brands International Inc,QSR,2017-06-30,SH,39150551.0,2448475000.0,39150551.0,2182252000.0,40.7094,36.6105,1,1,0.0,,CONSUMER DISCRETIONARY,175085
"PERSHING SQUARE CAPITAL MANAGEMENT, L.P.",Chipotle Mexican Grill Inc.,CMG,2017-06-30,SH,2882463.0,1199393000.0,2882463.0,1284195000.0,19.9416,21.5442,2,2,0.0,,CONSUMER DISCRETIONARY,3931
"PERSHING SQUARE CAPITAL MANAGEMENT, L.P.",Mondelez International Inc. (Kraft Foods),MDLZ,2017-06-30,SH,14496225.0,626092000.0,19942225.0,859111000.0,10.4097,14.4128,3,3,-27.308889,reduction,CONSUMER STAPLES,3785
"PERSHING SQUARE CAPITAL MANAGEMENT, L.P.",Howard Hughes Corporation (The),HHH,2017-06-30,SH,4704534.0,577905000.0,3568017.0,418350000.0,9.6085,7.0184,4,5,31.852903,addition,REAL ESTATE,96715
"PERSHING SQUARE CAPITAL MANAGEMENT, L.P.",Element Solutions Inc,ESI,2017-06-30,SH,40451506.0,512925000.0,40451506.0,526679000.0,8.5281,8.8358,5,4,0.0,,MATERIALS,165240
"PERSHING SQUARE CAPITAL MANAGEMENT, L.P.",Nomad Foods Ltd,NOMD,2017-06-30,SH,33333334.0,470333000.0,33333334.0,381667000.0,7.82,6.403,6,6,0.0,,CONSUMER STAPLES,173432
"PERSHING SQUARE CAPITAL MANAGEMENT, L.P.",Automatic Data Processing Inc,ADP,2017-06-30,SH,1750867.0,179394000.0,0.0,0.0,2.9827,,7,999999,,new,INFORMATION TECHNOLOGY,201
"PERSHING SQUARE CAPITAL MANAGEMENT, L.P.",Air Products & Chemicals Inc,APD,2017-06-30,SH,0.0,0.0,2280138.0,308480000.0,,5.1752,999999,7,-100.0,soldall,MATERIALS,363
