Filer Name,Stock Name,Stock Ticker,Quarter Date,Type of Security,Current Shares Held,Current Market Value,Previous Shares Held,Previous Market Value,Current % of Portfolio,Previous % of Portfolio,Current Rank,Previous Rank,Change in Shares,Type of Change,Sector,stock_id
"PERSHING SQUARE CAPITAL MANAGEMENT, L.P.",Lowes Companies Inc.,LOW,2020-12-31,SH,12387587.0,1988332000.0,12408077.0,2058004000.0,19.8774,23.3263,1,1,-0.165134,reduction,CONSUMER DISCRETIONARY,138
"PERSHING SQUARE CAPITAL MANAGEMENT, L.P.",Chipotle Mexican Grill Inc.,CMG,2020-12-31,SH,1161232.0,1610292000.0,1161232.0,1444236000.0,16.0981,16.3696,2,3,0.0,,CONSUMER DISCRETIONARY,3931
"PERSHING SQUARE CAPITAL MANAGEMENT, L.P.",Restaurant Brands International Inc,QSR,2020-12-31,SH,25038527.0,1530104000.0,25119016.0,1444595000.0,15.2965,16.3737,3,2,-0.320431,reduction,CONSUMER DISCRETIONARY,175085
"PERSHING SQUARE CAPITAL MANAGEMENT, L.P.",Hilton Worldwide Holdings Inc,HLT,2020-12-31,SH,13350206.0,1485344000.0,13363011.0,1140132000.0,14.849,12.9228,4,5,-0.095824,reduction,CONSUMER DISCRETIONARY,171415
"PERSHING SQUARE CAPITAL MANAGEMENT, L.P.",Agilent Technologies Inc,A,2020-12-31,SH,12236107.0,1449856000.0,12248514.0,1236365000.0,14.4942,14.0135,5,4,-0.101294,reduction,INFORMATION TECHNOLOGY,4847
"PERSHING SQUARE CAPITAL MANAGEMENT, L.P.",Starbucks Corp.,SBUX,2020-12-31,SH,10070042.0,1077293000.0,10131008.0,870456000.0,10.7697,9.8661,6,6,-0.601776,reduction,CONSUMER DISCRETIONARY,360
"PERSHING SQUARE CAPITAL MANAGEMENT, L.P.",Howard Hughes Corporation (The),HHH,2020-12-31,SH,10918008.0,861758000.0,10918008.0,628877000.0,8.615,7.128,7,7,0.0,,REAL ESTATE,96715
