Filer Name,Stock Name,Stock Ticker,Quarter Date,Type of Security,Current Shares Held,Current Market Value,Previous Shares Held,Previous Market Value,Current % of Portfolio,Previous % of Portfolio,Current Rank,Previous Rank,Change in Shares,Type of Change,Sector,stock_id
FARALLON CAPITAL MANAGEMENT LLC,Alcon Inc.,ACL,2010-09-30,SH,1247088.0,208002000.0,1060871.0,157210000.0,7.1022,6.9027,1,1,17.553218,addition,HEALTH CARE,11328
FARALLON CAPITAL MANAGEMENT LLC,Novartis AG ADS,NVS,2010-09-30,PUT,3257604.0,168339000.0,1527804.0,66150000.0,5.7479,2.9045,2,12,113.221329,addition,HEALTH CARE,4136
FARALLON CAPITAL MANAGEMENT LLC,Allegheny Energy,AYE,2010-09-30,SH,5330000.0,130692000.0,210300.0,4349000.0,4.4625,0.191,3,60,2434.47456,addition,UTILITIES AND TELECOMMUNICATIONS,4297
FARALLON CAPITAL MANAGEMENT LLC,Hudson Pacific Properties Inc,HPP,2010-09-30,SH,7108860.0,116372000.0,0.0,0.0,3.9735,,4,999999,,new,REAL ESTATE,90510
FARALLON CAPITAL MANAGEMENT LLC,Viacom Inc.  Class B,VIAB,2010-09-30,SH,3045000.0,110199000.0,3105000.0,97404000.0,3.7627,4.2768,5,3,-1.932367,reduction,COMMUNICATIONS,2530
FARALLON CAPITAL MANAGEMENT LLC,Genzyme Corp.,GENZ,2010-09-30,SH,1535000.0,108663000.0,0.0,0.0,3.7103,,6,999999,,new,HEALTH CARE,4879
FARALLON CAPITAL MANAGEMENT LLC,Home Depot Inc. (The),HD,2010-09-30,SH,3387000.0,107300000.0,3354000.0,94147000.0,3.6637,4.1338,7,4,0.9839,addition,CONSUMER DISCRETIONARY,354
FARALLON CAPITAL MANAGEMENT LLC,Hewitt Associates Inc. Class A,HEW,2010-09-30,SH,2085000.0,105290000.0,0.0,0.0,3.5951,,8,999999,,new,INFORMATION TECHNOLOGY,11378
FARALLON CAPITAL MANAGEMENT LLC,Charles Schwab Corp,SCHW,2010-09-30,SH,7445000.0,103486000.0,7090000.0,100536000.0,3.5335,4.4143,9,2,5.007052,addition,FINANCE,3661
FARALLON CAPITAL MANAGEMENT LLC,BMC Software Inc,BMC,2010-09-30,SH,2345000.0,94926000.0,2292000.0,79372000.0,3.2412,3.485,10,7,2.312391,addition,INFORMATION TECHNOLOGY,932
