Filer Name,Stock Name,Stock Ticker,Quarter Date,Type of Security,Current Shares Held,Current Market Value,Previous Shares Held,Previous Market Value,Current % of Portfolio,Previous % of Portfolio,Current Rank,Previous Rank,Change in Shares,Type of Change,Sector,stock_id
FARALLON CAPITAL MANAGEMENT LLC,XTO Energy Inc.,XTO,2010-03-31,SH,15805000.0,745680000.0,1550000.0,72122000.0,33.7121,3.5004,1,7,919.677419,addition,ENERGY,478
FARALLON CAPITAL MANAGEMENT LLC,Oracle Corp,ORCL,2010-03-31,SH,3487000.0,89581000.0,2862000.0,70233000.0,4.05,3.4087,2,8,21.837876,addition,INFORMATION TECHNOLOGY,20
FARALLON CAPITAL MANAGEMENT LLC,Home Depot Inc. (The),HD,2010-03-31,SH,2735339.0,88488000.0,2627339.0,76009000.0,4.0005,3.689,3,5,4.110623,addition,CONSUMER DISCRETIONARY,354
FARALLON CAPITAL MANAGEMENT LLC,VISA Inc,V,2010-03-31,SH,3740000.0,85113000.0,3660000.0,80026000.0,3.848,3.884,4,4,2.185792,addition,FINANCE,45920
FARALLON CAPITAL MANAGEMENT LLC,Jones Lang Lasalle Inc,JLL,2010-03-31,SH,1050000.0,76535000.0,1050000.0,63420000.0,3.4601,3.078,5,9,0.0,,REAL ESTATE,3944
FARALLON CAPITAL MANAGEMENT LLC,Wells Fargo & Co.  (Northwest Bancorporation),WFC,2010-03-31,SH,2355000.0,73288000.0,2740000.0,73953000.0,3.3133,3.5892,6,6,-14.051095,reduction,FINANCE,309
FARALLON CAPITAL MANAGEMENT LLC,Crown Castle International Corp,CCI,2010-03-31,SH,1802000.0,68890000.0,1615000.0,63050000.0,3.1145,3.0601,7,10,11.578947,addition,UTILITIES AND TELECOMMUNICATIONS,2617
FARALLON CAPITAL MANAGEMENT LLC,Charles Schwab Corp,SCHW,2010-03-31,SH,3592400.0,67142000.0,3067400.0,57728000.0,3.0355,2.8018,8,12,17.115472,addition,FINANCE,3661
FARALLON CAPITAL MANAGEMENT LLC,BMC Software Inc,BMC,2010-03-31,SH,1615000.0,61370000.0,1425000.0,57143000.0,2.7745,2.7734,9,13,13.333333,addition,INFORMATION TECHNOLOGY,932
FARALLON CAPITAL MANAGEMENT LLC,Dollar General Corp.,DG,2010-03-31,SH,2415000.0,60979000.0,2615000.0,58654000.0,2.7569,2.8467,10,11,-7.648184,reduction,CONSUMER DISCRETIONARY,85548
FARALLON CAPITAL MANAGEMENT LLC,MSCI Inc,MSCI,2010-03-31,SH,1601200.0,57803000.0,1161200.0,36926000.0,2.6133,1.7922,11,23,37.891836,addition,FINANCE,89238
FARALLON CAPITAL MANAGEMENT LLC,Beacon Roofing Supply Inc,BECN,2010-03-31,SH,2814422.0,53840000.0,2525422.0,40407000.0,2.4341,1.9611,12,20,11.443632,addition,INDUSTRIALS,207
