Filer Name,Stock Name,Stock Ticker,Quarter Date,Type of Security,Current Shares Held,Current Market Value,Previous Shares Held,Previous Market Value,Current % of Portfolio,Previous % of Portfolio,Current Rank,Previous Rank,Change in Shares,Type of Change,Sector,stock_id
LONE PINE CAPITAL LLC,Microsoft Corp.,MSFT,2023-06-30,SH,2502085.0,852060026.0,2679232.0,772422586.0,7.8098,7.1509,1,2,-6.611857,reduction,INFORMATION TECHNOLOGY,178
LONE PINE CAPITAL LLC,Taiwan Semiconductor Manufacturing Co Ltd ADR,TSM,2023-06-30,SH,6410367.0,646934238.0,8183930.0,761269169.0,5.9297,7.0476,2,3,-21.671288,reduction,INFORMATION TECHNOLOGY,5232
LONE PINE CAPITAL LLC,Amazon.com Inc.,AMZN,2023-06-30,SH,4895544.0,638183116.0,6605311.0,682262573.0,5.8495,6.3162,3,5,-25.884731,reduction,CONSUMER DISCRETIONARY,3573
LONE PINE CAPITAL LLC,Bath & Body Works Inc (L Brands),BBWI,2023-06-30,SH,16356915.0,613384313.0,19565935.0,715721902.0,5.6222,6.626,4,4,-16.401056,reduction,CONSUMER DISCRETIONARY,1043
LONE PINE CAPITAL LLC,RH Common Stock,RH,2023-06-30,SH,1773069.0,584385812.0,1773069.0,431830955.0,5.3564,3.9978,5,9,0.0,,CONSUMER DISCRETIONARY,134658
LONE PINE CAPITAL LLC,Workday Inc,WDAY,2023-06-30,SH,2579619.0,582710136.0,4266760.0,881256610.0,5.341,8.1584,6,1,-39.541502,reduction,COMMUNICATIONS,131962
LONE PINE CAPITAL LLC,Booking Holdings Inc. (Priceline),BKNG,2023-06-30,SH,210550.0,568554482.0,204600.0,542683086.0,5.2112,5.024,7,7,2.908113,addition,CONSUMER DISCRETIONARY,4288
LONE PINE CAPITAL LLC,TransDigm Group Inc,TDG,2023-06-30,SH,582986.0,521288592.0,698848.0,515085918.0,4.778,4.7685,8,8,-16.578999,reduction,INDUSTRIALS,2714
LONE PINE CAPITAL LLC,Mastercard Inc,MA,2023-06-30,SH,1176808.0,462838586.0,1049009.0,381220361.0,4.2423,3.5292,9,12,12.182832,addition,FINANCE,4044
LONE PINE CAPITAL LLC,PTC Inc.,PTC,2023-06-30,SH,3167520.0,450738096.0,2681447.0,343841949.0,4.1314,3.1832,10,15,18.127265,addition,INFORMATION TECHNOLOGY,11355
LONE PINE CAPITAL LLC,LPL Financial Holdings Inc,LPLA,2023-06-30,SH,2003058.0,435524901.0,1859641.0,376391338.0,3.9919,3.4845,11,13,7.71208,addition,FINANCE,108028
LONE PINE CAPITAL LLC,Dicks Sporting Goods Inc,DKS,2023-06-30,SH,3266348.0,431778542.0,4566026.0,647873429.0,3.9576,5.9978,12,6,-28.464095,reduction,CONSUMER DISCRETIONARY,5075
LONE PINE CAPITAL LLC,UnitedHealth Group Inc.,UNH,2023-06-30,SH,891167.0,428330507.0,891167.0,421156613.0,3.926,3.899,13,10,0.0,,HEALTH CARE,153
LONE PINE CAPITAL LLC,Floor & Decor Holdings Inc,FND,2023-06-30,SH,3757299.0,390608804.0,3024737.0,297089668.0,3.5802,2.7504,14,18,24.219031,addition,CONSUMER DISCRETIONARY,198898
LONE PINE CAPITAL LLC,KKR & Co. Inc,KKR,2023-06-30,SH,6564382.0,367605392.0,6564382.0,344761343.0,3.3694,3.1917,15,14,0.0,,FINANCE,92493
LONE PINE CAPITAL LLC,Live Nation Entertainment Inc,LYV,2023-06-30,SH,3973262.0,362003901.0,0.0,0.0,3.3181,,16,999999,,new,COMMUNICATIONS,996
LONE PINE CAPITAL LLC,Salesforce.com Inc.,CRM,2023-06-30,SH,1694996.0,358084855.0,2035296.0,406611435.0,3.2821,3.7643,17,11,-16.719927,reduction,INFORMATION TECHNOLOGY,6241
LONE PINE CAPITAL LLC,ASML Holding NV (ADR),ASML,2023-06-30,SH,461133.0,334206142.0,461133.0,313897844.0,3.0633,2.906,18,17,0.0,,INFORMATION TECHNOLOGY,5673
LONE PINE CAPITAL LLC,VISA Inc,V,2023-06-30,SH,1241941.0,294936149.0,1482970.0,334350416.0,2.7033,3.0953,19,16,-16.253127,reduction,FINANCE,45920
LONE PINE CAPITAL LLC,HDFC Bank Ltd ADR,HDB,2023-06-30,SH,4079975.0,284374258.0,2990549.0,199379902.0,2.6065,1.8458,20,23,36.428963,addition,FINANCE,7974
LONE PINE CAPITAL LLC,ICICI Bank Ltd. ADS ADR,IBN,2023-06-30,SH,12042263.0,277935430.0,12042263.0,259872036.0,2.5475,2.4058,21,21,0.0,,FINANCE,5628
LONE PINE CAPITAL LLC,NVIDIA Corp.,NVDA,2023-06-30,SH,641649.0,271430360.0,0.0,0.0,2.4879,,22,999999,,new,INFORMATION TECHNOLOGY,261
LONE PINE CAPITAL LLC,EPAM Systems Inc.,EPAM,2023-06-30,SH,965588.0,217015903.0,965588.0,288710812.0,1.9891,2.6728,23,19,0.0,,INFORMATION TECHNOLOGY,118997
LONE PINE CAPITAL LLC,Bill.com Holdings Inc.,BILL,2023-06-30,SH,1823538.0,213080415.0,1823538.0,147961873.0,1.953,1.3698,24,24,0.0,,INFORMATION TECHNOLOGY,194091
LONE PINE CAPITAL LLC,Moderna Inc,MRNA,2023-06-30,SH,1529618.0,185848587.0,1529618.0,234918732.0,1.7034,2.1748,25,22,0.0,,HEALTH CARE,210775
