Filer Name,Stock Name,Stock Ticker,Quarter Date,Type of Security,Current Shares Held,Current Market Value,Previous Shares Held,Previous Market Value,Current % of Portfolio,Previous % of Portfolio,Current Rank,Previous Rank,Change in Shares,Type of Change,Sector,stock_id
LONE PINE CAPITAL LLC,Citigroup Inc.,C,2010-12-31,SH,14514313.4,686527000.0,0.0,0.0,5.6566,,1,999999,,new,FINANCE,216
LONE PINE CAPITAL LLC,Yum! Brands Inc. (Tricon Global Restaurants),YUM,2010-12-31,SH,12347491.0,605644000.0,15053094.0,693346000.0,4.9901,6.0901,2,2,-17.973734,reduction,CONSUMER DISCRETIONARY,479
LONE PINE CAPITAL LLC,Schlumberger Ltd.,SLB,2010-12-31,SH,7004298.0,584859000.0,0.0,0.0,4.8189,,3,999999,,new,ENERGY,276
LONE PINE CAPITAL LLC,Apple Inc,AAPL,2010-12-31,SH,48009528.0,553070000.0,75798968.0,768141000.0,4.557,6.747,4,1,-36.662029,reduction,INFORMATION TECHNOLOGY,195
LONE PINE CAPITAL LLC,Cognizant Technology Solutions Corp,CTSH,2010-12-31,SH,13013842.0,476892000.0,18446576.0,594625000.0,3.9293,5.2229,5,3,-29.451178,reduction,INFORMATION TECHNOLOGY,3996
LONE PINE CAPITAL LLC,Teck Resources Ltd,TECK,2010-12-31,SH,7359464.0,455036000.0,0.0,0.0,3.7492,,6,999999,,new,MATERIALS,5572
LONE PINE CAPITAL LLC,SSgA SPDR Gold Shares,GLD,2010-12-31,CALL,3233000.0,448482000.0,3370000.0,431057000.0,3.6952,3.7862,7,6,-4.065282,reduction,MATERIALS,3418
LONE PINE CAPITAL LLC,Express Scripts Inc.,ESRX,2010-12-31,SH,7755543.0,419187000.0,4237421.0,206362000.0,3.4538,1.8126,8,23,83.025076,addition,HEALTH CARE,11326
LONE PINE CAPITAL LLC,Dollar General Corp.,DG,2010-12-31,SH,13593067.0,416899000.0,8561804.0,250433000.0,3.435,2.1997,9,14,58.764053,addition,CONSUMER DISCRETIONARY,85548
LONE PINE CAPITAL LLC,Goodrich Corporation,GR,2010-12-31,SH,4504138.0,396679000.0,4046664.0,298361000.0,3.2684,2.6207,10,10,11.304966,addition,INDUSTRIALS,11377
LONE PINE CAPITAL LLC,Ralph Lauren Corp. Class A,RL,2010-12-31,SH,3470805.0,384982000.0,3088927.0,277571000.0,3.172,2.4381,11,11,12.362804,addition,CONSUMER DISCRETIONARY,5153
LONE PINE CAPITAL LLC,JPMorgan Chase & Co. (Chemical Bank),JPM,2010-12-31,SH,8112802.0,344145000.0,11711781.0,445868000.0,2.8355,3.9163,12,5,-30.729562,reduction,FINANCE,240
LONE PINE CAPITAL LLC,Equinix Inc,EQIX,2010-12-31,SH,4036520.0,328008000.0,3336520.0,341493000.0,2.7026,2.9995,13,8,20.979943,addition,INFORMATION TECHNOLOGY,4818
LONE PINE CAPITAL LLC,Crown Castle International Corp,CCI,2010-12-31,SH,7463404.0,327121000.0,12246997.0,540705000.0,2.6953,4.7493,14,4,-39.059314,reduction,UTILITIES AND TELECOMMUNICATIONS,2617
LONE PINE CAPITAL LLC,Ameriprise Financial Inc.,AMP,2010-12-31,SH,5397351.0,310618000.0,5278758.0,249844000.0,2.5593,2.1945,15,15,2.246608,addition,FINANCE,536
LONE PINE CAPITAL LLC,Amphenol Corp. (1987),APH,2010-12-31,SH,20220316.0,266807000.0,20220316.0,247598000.0,2.1983,2.1748,16,17,0.0,,INFORMATION TECHNOLOGY,5048
LONE PINE CAPITAL LLC,Mead Johnson Nutrition Co.,MJN,2010-12-31,SH,4177816.0,260069000.0,4177816.0,237760000.0,2.1428,2.0884,17,18,0.0,,CONSUMER STAPLES,73084
LONE PINE CAPITAL LLC,New Oriental Education & Tech Group Inc ADR,EDU,2010-12-31,SH,97845840.0,257408000.0,112477080.0,274388000.0,2.1209,2.4101,18,13,-13.008197,reduction,CONSUMER DISCRETIONARY,5470
LONE PINE CAPITAL LLC,NetApp Inc.,NTAP,2010-12-31,SH,4616978.0,253749000.0,3272364.0,162931000.0,2.0907,1.4311,19,30,41.089989,addition,INFORMATION TECHNOLOGY,693
LONE PINE CAPITAL LLC,Estee Lauder Companies Inc.,EL,2010-12-31,SH,6061124.0,244566000.0,10720066.0,338915000.0,2.0151,2.9769,20,9,-43.460012,reduction,CONSUMER STAPLES,5031
LONE PINE CAPITAL LLC,Family Dollar Stores Inc.,FDO,2010-12-31,SH,4733166.0,235286000.0,4733166.0,209017000.0,1.9386,1.8359,21,21,0.0,,CONSUMER DISCRETIONARY,2705
LONE PINE CAPITAL LLC,Wyndham Destinations Inc,TNL,2010-12-31,SH,7732440.0,231664000.0,6300947.0,173087000.0,1.9088,1.5203,22,28,22.718696,addition,CONSUMER DISCRETIONARY,1078
LONE PINE CAPITAL LLC,Sears Holdings Corp,SHLDQ,2010-12-31,PUT,3056700.0,225432000.0,3056700.0,220510000.0,1.8574,1.9369,23,19,0.0,,CONSUMER DISCRETIONARY,1061
LONE PINE CAPITAL LLC,TransDigm Group Inc,TDG,2010-12-31,SH,2887779.0,207949000.0,2479871.0,153876000.0,1.7134,1.3516,24,32,16.448759,addition,INDUSTRIALS,2714
LONE PINE CAPITAL LLC,Accenture Plc,ACN,2010-12-31,SH,4145967.0,201038000.0,9240919.0,392647000.0,1.6564,3.4488,25,7,-55.13469,reduction,INFORMATION TECHNOLOGY,4409
LONE PINE CAPITAL LLC,Charles Schwab Corp,SCHW,2010-12-31,SH,11050680.0,189077000.0,12620845.0,175430000.0,1.5579,1.5409,26,27,-12.441045,reduction,FINANCE,3661
LONE PINE CAPITAL LLC,TOWERS WATSON & CO COM STK CL A (DE),TW,2010-12-31,SH,3485387.0,181449000.0,2093206.0,102944000.0,1.495,0.9042,27,41,66.509507,addition,INDUSTRIALS,737
LONE PINE CAPITAL LLC,OReilly Automotive Inc.,ORLY,2010-12-31,SH,2997343.0,181099000.0,4659771.0,247900000.0,1.4921,2.1775,28,16,-35.676174,reduction,CONSUMER DISCRETIONARY,5148
LONE PINE CAPITAL LLC,Dicks Sporting Goods Inc,DKS,2010-12-31,SH,4765663.0,178712000.0,5054663.0,141733000.0,1.4725,1.2449,29,33,-5.717493,reduction,CONSUMER DISCRETIONARY,5075
LONE PINE CAPITAL LLC,Trip.com Group Ltd,TCOM,2010-12-31,SH,8625300.0,174447000.0,0.0,0.0,1.4373,,30,999999,,new,CONSUMER DISCRETIONARY,6019
LONE PINE CAPITAL LLC,Cablevision Systems Corp. Class A,CVC,2010-12-31,SH,5125672.0,173453000.0,0.0,0.0,1.4291,,31,999999,,new,CONSUMER DISCRETIONARY,5211
LONE PINE CAPITAL LLC,Union Pacific Corp.,UNP,2010-12-31,SH,3740482.0,173297000.0,0.0,0.0,1.4279,,32,999999,,new,TRANSPORTS,473
