Filer Name,Stock Name,Stock Ticker,Quarter Date,Type of Security,Current Shares Held,Current Market Value,Previous Shares Held,Previous Market Value,Current % of Portfolio,Previous % of Portfolio,Current Rank,Previous Rank,Change in Shares,Type of Change,Sector,stock_id
SOROS FUND MANAGEMENT LLC,JetBlue Airways Corp,JBLU,2005-09-30,SH,16705582.5,196012000.0,16705582.5,227641000.0,7.5457,12.6054,1,1,0.0,,TRANSPORTS,994
SOROS FUND MANAGEMENT LLC,Adams Respiratory Therapeutics Inc.,ARXT,2005-09-30,SH,5088376.0,164304000.0,0.0,0.0,6.3251,,2,999999,,new,HEALTH CARE,97163
SOROS FUND MANAGEMENT LLC,Integra LifeSciences Holdings Corp,IART,2005-09-30,SH,4628374.0,88541000.0,4628374.0,67574000.0,3.4085,3.7419,3,3,0.0,,HEALTH CARE,6509
SOROS FUND MANAGEMENT LLC,Invesco QQQ Trust Series 1,QQQ,2005-09-30,SH,2000000.0,78920000.0,225000.0,8276000.0,3.0381,0.4583,4,46,788.888889,addition,FINANCE,4193
SOROS FUND MANAGEMENT LLC,Teradyne Inc,TER,2005-09-30,PRN,71496000.0,70870000.0,33736000.0,33146000.0,2.7282,1.8354,5,13,111.927911,addition,INFORMATION TECHNOLOGY,959
SOROS FUND MANAGEMENT LLC,LSI Corp. (CA),LSI,2005-09-30,PRN,65664000.0,65336000.0,65664000.0,65007000.0,2.5152,3.5997,6,4,0.0,,INFORMATION TECHNOLOGY,922
SOROS FUND MANAGEMENT LLC,Time Warner Inc. (New),TWX,2005-09-30,SH,1163716.95,63231000.0,971569.5,48710000.0,2.4342,2.6973,7,7,19.777015,addition,COMMUNICATIONS,284
SOROS FUND MANAGEMENT LLC,International Rectifier Corp.,IRF,2005-09-30,PRN,68229838.0,61955000.0,32788928.0,29812000.0,2.385,1.6508,8,16,108.088041,addition,INFORMATION TECHNOLOGY,5112
SOROS FUND MANAGEMENT LLC,Mercury Interactive Corp.,MERQ,2005-09-30,PRN,60699000.0,60459000.0,30889000.0,30657000.0,2.3274,1.6976,9,15,96.506847,addition,INFORMATION TECHNOLOGY,102780
SOROS FUND MANAGEMENT LLC,Extreme Networks Inc.,EXTR,2005-09-30,PRN,59710000.0,58367000.0,48260000.0,46933000.0,2.2469,2.5989,10,8,23.725653,addition,INFORMATION TECHNOLOGY,6905
SOROS FUND MANAGEMENT LLC,Pioneer Natural Resources Co.,PXD,2005-09-30,SH,1043150.0,57290000.0,3992000.0,167983000.0,2.2054,9.3019,11,2,-73.868988,reduction,ENERGY,2612
SOROS FUND MANAGEMENT LLC,Axcelis Technologies Inc,ACLS,2005-09-30,PRN,14086750.0,55572000.0,12864500.0,50429000.0,2.1393,2.7925,12,6,9.500952,addition,INFORMATION TECHNOLOGY,963
SOROS FUND MANAGEMENT LLC,SCI Systems Inc.,SCI,2005-09-30,PRN,56113000.0,54009000.0,29368000.0,27900000.0,2.0791,1.5449,13,17,91.06851,addition,INFORMATION TECHNOLOGY,108508
